Dashboard,red_still,green_still,blue_still,white_still
1,7,1.4,1,2.4
2,1.3,1.3,1.5,1.6
3,0.9,13.4,0.7,1.1
4,1.6,9,1.8,8.6
5,1.4,0.7,1.9,0.8
Dashboard,red_flash,green_flash,blue_flash,white_flash
1,0.9,0.7,0.7,1.6
2,0.9,1.4,0.9,10.3
3,0.7,0.7,0.8,0.9
4,1.2,2.2,1.5,2.2
5,0.8,0.9,1.2,1.1
B_Pillar,red_still,green_still,blue_still,white_still
1,1,0.8,1.2,0.9
2,1.1,0.7,0.8,8.8
3,0.7,0.7,0.9,1.3
4,0.9,1,1.3,0.8
5,0.9,1.1,0.8,4
B_Pillar,red_flash,green_flash,blue_flash,white_flash
1,0.7,0.7,0.8,0.7
2,1,0.8,1.1,1.3
3,0.7,0.7,0.5,1
4,0.7,0.8,0.7,0.9
5,0.8,0.8,0.8,0.9
Floor,red_still,green_still,blue_still,white_still
1,1.6,1.3,0.9,6.3
2,2,1.1,1.1,2.2
3,0.8,0.8,0.7,0.9
4,1.1,0.9,0.9,0.9
5,1.2,1,1.2,1.7
Floor,red_flash,green_flash,blue_flash,white_flash
1,0.9,0.7,0.9,1.2
2,0.7,0.9,0.8,0.8
3,0.8,0.9,0.8,1.2
4,0.7,0.8,0.7,0.9
5,0.8,0.8,0.7,8.2
